gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
0,2,2017-03-08,09:45:38,0.000000,0.000000,0.161259,0,0.000000,09:45:37,330.6352844238281,2.9896240234375,-3.65142822265625,0.4866723120212555,34.0409046155718,-118.2916314017561,61.7617127291734,5,-0.4056749173761748,-0.1414129763510639,0.01690460807977434,-0.4056343543463704,-0.14139883660880043,0.0169029178048966,5.39300537109375,2.9896240234375,-3.65142822265625,-0.1131193651977697,-0.0893075092591532,-0.1547158108959353,seonkim
0,3,2017-03-08,09:45:38,0.000000,0.000000,-0.208084,0,0.000000,09:45:37,330.7194519042969,2.688568115234375,-4.32464599609375,0.4866723120212555,34.0409046155718,-118.2916314017561,61.7617127291734,5,-0.5794833336387865,0.1238659169972075,-0.01846884697882815,-0.4966941634964771,-0.002456647037562043,-0.001624347431966093,5.46783447265625,2.688568115234375,-4.32464599609375,-0.01182310365940678,-0.03621978977340466,-0.005918342890483091,seonkim
0,4,2017-03-08,09:45:38,0.000000,0.000000,0.224143,0,0.000000,09:45:37,330.6878356933594,3.2862548828125,-5.67071533203125,0.4866723120212555,34.0409046155718,-118.2916314017561,61.7617127291734,5,-0.3488705783383734,-0.1007127237349868,0.03496913024969534,-0.4399069019819628,-0.0402022714373431,0.012433242800414569,6.072265625,3.2862548828125,-5.67071533203125,-0.003087402651728861,0.06717504270394069,-0.0485558182587607,seonkim
0,5,2017-03-08,09:45:38,0.000000,0.000000,-0.377535,0,0.000000,09:45:38,330.7583770751953,2.83502197265625,-6.26239013671875,0.4866723120212555,34.0409046155718,-118.2916314017561,61.7617127291734,5,-0.5841900024446827,0.05063748407633185,-0.03395787396300706,-0.4869743882700872,-0.010568870620861422,-0.0027002915161515404,6.746337890625,2.83502197265625,-6.26239013671875,0.0008024104364408745,0.05437109681505773,-0.03044206178847775,seonkim
0,6,2017-03-08,09:45:38,0.000000,0.000000,0.334656,0,0.000000,09:45:38,330.7437591552734,2.759857177734375,-6.33563232421875,0.4866723120212555,34.0409046155718,-118.2916314017561,61.7617127291734,5,-0.3579143005341605,-0.04241516633276117,0.05363337562920636,-0.4484055505814837,-0.020085946208232307,0.01413468901616296,6.896148681640625,2.759857177734375,-6.33563232421875,-0.01784530983240296,-0.003165166955559174,-0.01959474035247601,seonkim
0,7,2017-03-08,09:45:38,0.000000,0.000000,-0.493859,0,0.000000,09:45:38,330.7123260498047,2.984954833984375,-6.18414306640625,0.4866723120212555,34.0409046155718,-118.2916314017561,61.7617127291734,5,-0.5989846124294118,-0.005208613484108691,-0.04908027976550447,-0.49133925825125524,-0.015844061272539716,-0.003889417102699721,7.121795654296875,2.984954833984375,-6.18414306640625,-0.005085838733724321,0.03411535988002405,-0.006167082136296492,seonkim
0,8,2017-03-08,09:45:38,0.000000,0.000000,0.505706,0,0.000000,09:45:38,330.7464904785156,2.83465576171875,-6.486572265625,0.4866723120212555,34.0409046155718,-118.2916314017561,61.7617127291734,5,-0.3375816344580607,0.01147180975288532,0.07279163655457901,-0.4485880291238724,-0.008249074876335596,0.017431212169255486,6.8216552734375,2.83465576171875,-6.486572265625,-0.02306723609783033,0.01283004486756574,-0.02273753675487852,seonkim
0,9,2017-03-08,09:45:38,0.000000,0.000000,-0.453317,0,0.000000,09:45:38,330.6923217773438,2.9853515625,-5.95989990234375,0.4866723120212555,34.0409046155718,-118.2916314017561,61.7617127291734,5,-0.612958145198683,-0.05409141344556554,-0.05778084448115237,-0.49368021445084,-0.020825151817502247,-0.003201954481055806,7.04644775390625,2.9853515625,-5.95989990234375,-0.009799367547055566,-0.003189668037587903,0.008340754218019166,seonkim
1,10,2017-03-08,09:45:39,0.149412,0.078260,2.022225,1,0.066793,09:45:39,330.6337585449219,2.610015869140625,-6.184326171875,0.4866723120212555,34.04090401488951,-118.2916313995794,61.81176414938255,5,-0.3307732772313416,0.05447756018694649,0.1310081921619434,-0.449308530054635,-0.00031461845244555586,0.03335345789888293,6.97027587890625,2.610015869140625,-6.184326171875,-0.02517965547448118,0.01922749043815408,-0.02271250304063177,seonkim
1,11,2017-03-08,09:45:39,0.149412,0.078260,0.696682,1,0.066793,09:45:39,330.58984375,3.060028076171875,-6.26312255859375,0.4866723120212555,34.04090401488951,-118.2916313995794,61.81176414938255,5,-0.618591281937105,-0.1000338324885643,-0.08221553944965528,-0.495241015414117,-0.02737201968109015,0.0019954416822794835,6.747222900390625,3.060028076171875,-6.26312255859375,-0.008735967323786925,0.01385962294499037,0.01280447852110098,seonkim
