gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
0,2,2017-03-09,09:44:38,0.000000,0.000000,-0.791712,0,0.000000,09:44:37,172.6459808349609,0.87750244140625,11.9224853515625,0.4181821942329407,34.05793243351986,-118.2916889770577,69.86725260501261,5,-0.5696888409058632,-0.1717133720406707,-0.05167915436113528,-0.5696318782876606,-0.17169620259210597,-0.05167398701410734,-49.74581909179688,0.87750244140625,11.9224853515625,0.06241890331316818,-0.08108872781905967,0.01956970663822927,seonkim
0,3,2017-03-09,09:44:38,0.000000,0.000000,0.312132,0,0.000000,09:44:38,172.6248931884766,0.50213623046875,11.77679443359375,0.4181821942329407,34.05793243351986,-118.2916889770577,69.86725260501261,5,-0.3258939347862856,0.06982371208269736,0.07469117056564675,-0.441965148760633,-0.045191247396219714,0.014514420759521383,-49.4471435546875,0.50213623046875,11.77679443359375,-0.09407083918486893,-0.08196810361100383,0.03274756034415936,seonkim
0,4,2017-03-09,09:44:38,0.000000,0.000000,0.740768,0,0.000000,09:44:38,172.4777145385742,-0.021514892578125,12.52410888671875,0.4229036569595337,34.05793243351986,-118.2916889770577,69.86725260501261,5,-0.6636183712899992,-0.1284846514213026,0.02967736055341791,-0.5271144806473378,-0.07718887694733319,0.02033934934912293,-49.90032958984375,-0.021514892578125,12.52410888671875,-0.06784030034424249,0.08858339575876066,-0.07196633582110225,seonkim
0,5,2017-03-09,09:44:38,0.000000,0.000000,0.917273,0,0.000000,09:44:38,172.5363159179688,-0.4710693359375,12.90289306640625,0.4317989647388458,34.05793243351986,-118.2916889770577,69.86725260501261,5,-0.2668593716007194,0.06306660620104736,0.01286862257223638,-0.44221504518205196,-0.031435264717282946,0.017902277169458438,-49.67770385742188,-0.4710693359375,12.90289306640625,-0.00974743590579902,-0.0234360839088063,0.0006591323697946115,seonkim
0,6,2017-03-09,09:44:38,0.000000,0.000000,1.193804,0,0.000000,09:44:38,172.4503860473633,-0.021240234375,12.59539794921875,0.4466187357902527,34.05793243351986,-118.2916889770577,69.86725260501261,5,-0.6831725128249775,-0.1250811736082864,0.01953701409904976,-0.5142237476586264,-0.05942078621800514,0.0183908085536148,-50.27542114257812,-0.021240234375,12.59539794921875,-0.0003195793308095086,0.009612679954641011,-0.03838813553294718,seonkim
0,7,2017-03-09,09:44:38,0.000000,0.000000,3.217363,0,0.000000,09:44:38,172.1355361938477,0.278289794921875,12.13983154296875,0.4567528963088989,34.05793243351986,-118.2916889770577,69.86725260501261,5,-0.269200829766114,0.08924084189198897,0.1360055544983552,-0.4443618279462059,-0.0170337849665785,0.051925597906636735,-50.72354125976562,0.278289794921875,12.13983154296875,0.01013838795382265,0.03197204783472828,-0.0198061953430283,seonkim
1,8,2017-03-09,09:44:39,0.543169,0.284505,2.909731,1,0.242818,09:44:39,171.2374725341797,0.87860107421875,12.36346435546875,0.468071460723877,34.05793461713606,-118.2916889979653,69.93209046859094,5,-0.6464857327026848,-0.1338476414918526,0.1588724667717928,-0.5005609623448216,-0.04951305865958319,0.08166142486933735,-50.64645385742188,0.87860107421875,12.36346435546875,0.1760429375375079,0.01045450517521506,-0.0266220235208681,seonkim
1,9,2017-03-09,09:44:39,0.543169,0.284505,5.842240,1,0.242818,09:44:39,170.4168014526367,1.02801513671875,11.91143798828125,0.4797669351100922,34.05793461713606,-118.2916889979653,69.93209046859094,5,-0.2980990588293024,0.07087333876844856,0.1966021822491365,-0.4450189338241549,-0.01648706906181415,0.11319349442772952,-50.79522705078125,1.02801513671875,11.91143798828125,0.003923102601795726,0.01493474107705536,-0.03505172731929591,seonkim
1,10,2017-03-09,09:44:39,0.543169,0.284505,7.535768,1,0.242818,09:44:39,170.4115600585938,1.475982666015625,10.40545654296875,0.490887314081192,34.05793461713606,-118.2916889979653,69.93209046859094,5,-0.6466247874833153,-0.1082531679775412,0.1140034705460896,-0.49993121358139203,-0.041481808075741256,0.11341411121241507,-51.24118041992188,1.475982666015625,10.40545654296875,0.009958091948024288,0.0266388014357356,-0.01131177673011156,seonkim
1,11,2017-03-09,09:44:39,0.543169,0.284505,10.868632,1,0.242818,09:44:39,170.2627944946289,2.149017333984375,8.81988525390625,0.5061694979667664,34.05793461713606,-118.2916889979653,69.93209046859094,5,-0.2977953816947037,0.09810076377744335,0.2232925674264881,-0.44508450867191507,-0.003608047360080406,0.14322807941207805,-52.06112670898438,2.149017333984375,8.81988525390625,0.02143578361404779,0.0511268339751232,0.0105162905125049,seonkim
