gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
0,2,2017-03-06,09:47:51,0.000000,0.000000,1.112467,0,0.000000,09:47:50,196.0621948242188,-1.12652587890625,8.0062255859375,0.565044105052948,34.04017260301303,-118.2841880154966,65.65129852294922,10,-0.6733968654968263,0.2295362747543335,0.09580893057861328,-0.6733295332168274,0.22951332365147936,0.09579935073933774,0.319244384765625,-1.12652587890625,8.0062255859375,0.04452539026503478,-0.07569955503717532,-0.0533822651023113,seonkim
0,3,2017-03-06,09:47:51,0.000000,0.000000,1.007814,0,0.000000,09:47:50,196.0969009399414,-1.42724609375,7.4814453125,0.565044105052948,34.04017260301303,-118.2841880154966,65.65129852294922,10,-0.3221914172442625,-0.1536560115367127,0.01466765339721679,-0.4894080057167539,0.028814264753224822,0.05330363459497473,0.243804931640625,-1.42724609375,7.4814453125,-0.04373363247295423,0.02356338300891209,-0.1181322333176258,seonkim
0,4,2017-03-06,09:47:51,0.000000,0.000000,1.471019,0,0.000000,09:47:51,196.0092544555664,-0.97894287109375,6.509521484375,0.565044105052948,34.04017260301303,-118.2841880154966,65.65129852294922,10,-0.5865032493825075,0.1187896779611664,0.05252481995031739,-0.5267076895795517,0.06337882570776449,0.053004448569617627,0.69708251953125,-0.97894287109375,6.509521484375,0.01278956481899653,0.0735445250830832,-0.03751568395983722,seonkim
0,5,2017-03-06,09:47:51,0.000000,0.000000,3.290485,0,0.000000,09:47:51,195.9116744995117,-1.65625,5.24505615234375,0.565044105052948,34.04017260301303,-118.2841880154966,65.65129852294922,10,-0.3350407523135557,-0.06091919405176852,0.1429422006189331,-0.4641828276052624,0.02283079671538451,0.08234360123399814,1.52130126953125,-1.65625,5.24505615234375,0.05257825676921638,-0.06616304148971058,0.03450231718641256,seonkim
0,6,2017-03-06,09:47:51,0.000000,0.000000,4.873347,0,0.000000,09:47:51,195.3245086669922,-1.731292724609375,5.16961669921875,0.565044105052948,34.04017260301303,-118.2841880154966,65.65129852294922,10,-0.6196532032888936,0.06915069993956041,0.1271686698335852,-0.5106442223735459,0.036673223607736234,0.09573930571186462,1.44610595703125,-1.731292724609375,5.16961669921875,0.1384289829334467,0.03184022136076935,-0.07091571877106599,seonkim
0,7,2017-03-06,09:47:51,0.000000,0.000000,8.517740,0,0.000000,09:47:51,194.6168823242188,-1.431396484375,5.47906494140625,0.565044105052948,34.04017260301303,-118.2841880154966,65.65129852294922,10,-0.3326716141103082,-0.04022177496513563,0.2646039832825858,-0.4598999565863318,0.014748612380384472,0.14388668167236457,2.496826171875,-1.431396484375,5.47906494140625,-0.02989345060392143,-0.004223773488865672,-0.004860801621612626,seonkim
0,8,2017-03-06,09:47:51,0.000000,0.000000,10.639023,0,0.000000,09:47:51,193.3493804931641,-1.655914306640625,5.54736328125,0.565044105052948,34.04017260301303,-118.2841880154966,65.65129852294922,10,-0.5563893095077539,0.05270655547643457,0.1630633852605165,-0.48672814457032954,0.025302552292242167,0.1492186296355281,1.74578857421875,-1.655914306640625,5.54736328125,-0.006267749625501487,0.03091663709472988,-0.0008761799986360694,seonkim
1,9,2017-03-06,09:47:52,0.000000,0.000000,3.500527,1,0.000000,09:47:52,193.2001342773438,-1.430084228515625,5.91632080078125,0.565044105052948,34.04017260301303,-118.2841880154966,65.38140106201172,5,-0.330722399763334,-0.004479356960041113,0.2550129727967851,-0.44393058425403126,0.01713238484657538,0.1782415338123493,1.22119140625,-1.430084228515625,5.91632080078125,0.006127667352163319,0.02559058123068041,-0.03597477895311738,seonkim
1,10,2017-03-06,09:47:52,0.000000,0.000000,5.886215,1,0.000000,09:47:52,193.0333480834961,-1.13067626953125,5.540283203125,0.565044105052948,34.04017260301303,-118.2841880154966,65.38140106201172,5,-0.574801622439562,0.0158142581780995,0.1806903508500809,-0.47957650886648556,0.016773360844736664,0.178908528960603,1.222930908203125,-1.13067626953125,5.540283203125,-0.01159806654729508,0.007478955289269525,-0.007618504930389677,seonkim
1,11,2017-03-06,09:47:52,0.000000,0.000000,9.162374,1,0.000000,09:47:52,192.8283309936523,-0.831146240234375,5.16278076171875,0.565044105052948,34.04017260301303,-118.2841880154966,65.38140106201172,5,-0.3471926999606441,0.0311269698858042,0.2400550758364897,-0.44365603086869304,0.02066801006211412,0.19549978139433893,1.07470703125,-0.831146240234375,5.16278076171875,-0.02757170676559035,0.06185031842043626,0.001180845627341134,seonkim
1,12,2017-03-06,09:47:52,0.000000,0.000000,10.732797,1,0.000000,09:47:52,192.5589141845703,-0.6822509765625,4.720458984375,0.565044105052948,34.04017260301303,-118.2841880154966,65.38140106201172,5,-0.6174368483557329,0.0006051118684012209,0.1263393477627843,-0.49071310449303585,0.01523529722837658,0.17677223905478093,1.90093994140625,-0.6822509765625,4.720458984375,-0.0482602073777619,-0.03407514614756385,0.0554321001933453,seonkim
3,13,2017-03-06,09:47:53,13.481628,4.397926,14.018008,1,6.026829,09:47:53,192.3693008422852,-0.158050537109375,3.88470458984375,0.565044105052948,34.04011853973758,-118.2841918711721,65.45336151123047,5,-0.3818663457571841,0.0447190711934389,0.2406586006853692,-0.46127109131990374,0.0232103777135899,0.19405289235632678,1.004302978515625,-0.158050537109375,3.88470458984375,0.04795207963963974,0.05431463779994804,-0.03386049536370347,seonkim
3,14,2017-03-06,09:47:53,13.481628,4.397926,15.048614,1,6.026829,09:47:53,192.0273895263672,0.8184814453125,5.0872802734375,0.565044105052948,34.04011853973758,-118.2841918711721,65.45336151123047,5,-0.5173874885255655,-0.001396761242063768,0.09035153428551151,-0.47644127431274613,0.01655822576735083,0.16601886563905524,1.606414794921875,0.8184814453125,5.0872802734375,0.1371011308139332,0.07449181148282438,-0.1047192224874418,seonkim
3,15,2017-03-06,09:47:53,13.481628,4.397926,19.183652,1,6.026829,09:47:53,192.2125015258789,1.4189453125,5.46173095703125,0.565044105052948,34.04011853973758,-118.2841918711721,65.45336151123047,5,-0.2855551787840223,0.03483405044988864,0.2973136850610084,-0.42485411143813545,0.021497286110926456,0.2015014250960572,1.75823974609375,1.4189453125,5.46173095703125,0.02430480705639015,-0.0906513403452072,0.05298412251934446,seonkim
3,16,2017-03-06,09:47:53,13.481628,4.397926,19.128682,1,6.026829,09:47:53,192.1383972167969,1.2689208984375,5.772705078125,0.565044105052948,34.04011853973758,-118.2841918711721,65.45336151123047,5,-0.6699168430006299,0.04578711094275648,0.01797981723415493,-0.49107170646337095,0.028060559823305943,0.15191265478285068,2.80718994140625,1.2689208984375,5.772705078125,-0.07990894745615457,0.001144094004298041,0.03917350173841155,seonkim
3,17,2017-03-06,09:47:53,13.481628,4.397926,24.036392,1,6.026829,09:47:53,191.7940063476562,0.96881103515625,5.7752685546875,0.565044105052948,34.04011853973758,-118.2841918711721,65.45336151123047,5,-0.2747588622955268,0.03517404644058167,0.3488251835322293,-0.43262762925716775,0.02998250376826544,0.20511509441314688,2.95599365234375,0.96881103515625,5.7752685546875,-0.3051013218594018,-0.1553054347612789,0.1425467626109272,seonkim
5,18,2017-03-06,09:47:54,17.097811,7.079411,26.190115,1,13.670237,09:47:54,191.5002365112305,0.368255615234375,5.3250732421875,0.565044105052948,34.04004985004109,-118.2841892727821,64.89659881591797,5,-0.6707346020590259,0.05656357304722649,0.1652260359928686,-0.496957118688739,0.03716392561047133,0.1943382459576505,2.729248046875,0.368255615234375,5.3250732421875,-0.1003822646522477,0.2196892183267075,-0.0167478211471813,seonkim
5,19,2017-03-06,09:47:54,17.097811,7.079411,24.851907,1,13.670237,09:47:54,192.623420715332,0.06768798828125,4.48681640625,0.565044105052948,34.04004985004109,-118.2841892727821,64.89659881591797,5,-0.2046854157640641,0.02679358992155866,-0.06756939919045674,-0.41799587193106735,0.03436223585707375,0.12358026976865812,1.3043212890625,0.06768798828125,4.48681640625,-0.1736058788239764,0.2273173106370215,-0.1644326204491984,seonkim
5,20,2017-03-06,09:47:54,17.097811,7.079411,29.008472,1,13.670237,09:47:54,191.7557754516602,0.293670654296875,5.54888916015625,0.565044105052948,34.04004985004109,-118.2841892727821,64.89659881591797,5,-0.6961999959295299,-0.04114303952315279,0.2987488606385986,-0.49315557520965414,0.013963709724595666,0.17090386484802386,2.57861328125,0.293670654296875,5.54888916015625,-0.184011381835134,-0.3004426541645262,0.2149205620788116,seonkim
5,21,2017-03-06,09:47:54,17.097811,7.079411,29.059990,1,13.670237,09:47:54,191.8847351074219,-0.30657958984375,5.32440185546875,0.565044105052948,34.04004985004109,-118.2841892727821,64.89659881591797,5,-0.3046349084485793,0.09764580100052501,0.02507896731979253,-0.4422251377726639,0.036571127720452345,0.13150804714847295,2.42657470703125,-0.30657958984375,5.32440185546875,0.08710347714100362,0.1225173943685503,-0.1094274249785928,seonkim
5,22,2017-03-06,09:47:54,17.097811,7.079411,30.451543,1,13.670237,09:47:54,192.1249771118164,-1.2060546875,5.394287109375,0.565044105052948,34.04004985004109,-118.2841892727821,64.89659881591797,5,-0.5401626888415911,-0.13981908711141,0.1144147082207805,-0.46868368854137804,-0.011081987997630313,0.12689015573819162,1.597869873046875,-1.2060546875,5.394287109375,-0.03009185610513234,0.06503972014191516,0.02254312599530274,seonkim
7,23,2017-03-06,09:47:55,21.682754,9.657205,31.581132,1,23.363298,09:47:55,192.2705154418945,-1.6568603515625,5.10333251953125,0.565044105052948,34.0399626782481,-118.2841892727821,64.82122039794922,5,-0.4663407626597554,0.1463678790838628,0.09695046865598506,-0.46805073112091095,0.031454168396598765,0.11880174489524141,2.346466064453125,-1.6568603515625,5.10333251953125,-0.1388582845011675,0.03214914804721855,-0.00648160146103485,seonkim
7,24,2017-03-06,09:47:55,21.682754,9.657205,33.700220,1,23.363298,09:47:55,192.6543350219727,-1.80718994140625,4.7236328125,0.565044105052948,34.0399626782481,-118.2841892727821,64.82122039794922,5,-0.4455490509109076,0.05717882093389851,0.1629170025260197,-0.46197175506992316,0.038403851497361516,0.13071977022125408,1.821441650390625,-1.80718994140625,4.7236328125,-0.06937108533882003,0.01717206270883093,-0.06415182223448274,seonkim
7,25,2017-03-06,09:47:55,21.682754,9.657205,34.250423,1,23.363298,09:47:55,192.9992599487305,-1.43328857421875,3.7398681640625,0.565044105052948,34.0399626782481,-118.2841892727821,64.82122039794922,5,-0.4579581857231519,0.03942346057355384,0.05832464889845726,-0.4608874636793845,0.03867930540073552,0.11116176586524192,1.074432373046875,-1.43328857421875,3.7398681640625,-0.1860127473943285,0.1483942654164142,-0.03290681737734609,seonkim
7,26,2017-03-06,09:47:55,21.682754,9.657205,36.345900,1,23.363298,09:47:55,193.2032318115234,-1.434173583984375,2.28936767578125,0.565044105052948,34.0399626782481,-118.2841892727821,64.82122039794922,5,-0.4571171128296321,-0.07213425172322971,0.1613429600343572,-0.45986887962624834,0.008742324293214573,0.12471853184932703,-1.473388671875,-1.434173583984375,2.28936767578125,-0.1166374009977644,0.09182259859262404,-0.03648157850855945,seonkim
7,27,2017-03-06,09:47:55,21.682754,9.657205,37.425950,1,23.363298,09:47:55,193.5478820800781,-1.05950927734375,1.83050537109375,0.565044105052948,34.0399626782481,-118.2841892727821,64.82122039794922,5,-0.4938817688634873,-0.02605970323424951,0.09364784231673473,-0.4690576746199225,-0.0006596613506263411,0.1163245905279733,-2.22119140625,-1.05950927734375,1.83050537109375,0.02993366433638163,0.144924166516041,-0.02153245636161766,seonkim
