gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
0,2,2017-03-09,15:27:58,0.000000,0.000000,-0.127367,0,0.000000,15:27:57,183.6397094726562,-6.8533935546875,-12.1163330078125,0.7698450088500977,34.05570330567105,-118.2841543202459,73.1738574842851,5,-0.507766759151755,0.07245854058341236,0.01727077768926747,-0.5077159880606598,0.0724512955263103,0.0172690508014562,7.996124267578125,-6.8533935546875,-12.1163330078125,-0.07854114792028986,0.03418673259723817,0.03097549295482063,seonkim
0,3,2017-03-09,15:27:58,0.000000,0.000000,-0.601726,0,0.000000,15:27:58,183.6361236572266,-6.9278564453125,-11.8956298828125,0.7698450088500977,34.05570330567105,-118.2841543202459,73.1738574842851,5,-0.3915527024079518,-0.1070293979508524,-0.005861998260184471,-0.4468711866425685,-0.021558331453836163,0.005153311488130016,7.54547119140625,-6.9278564453125,-11.8956298828125,-0.02092791879416968,0.002140382568096684,0.03277419195506014,seonkim
0,4,2017-03-09,15:27:58,0.000000,0.000000,-0.957220,0,0.000000,15:27:58,183.5711975097656,-7.152923583984375,-12.04779052734375,0.7698450088500977,34.05570330567105,-118.2841543202459,73.1738574842851,5,-0.5438946820906558,0.04654465883936089,0.002062297457603524,-0.48414330802407846,0.00460381523989932,0.0039658810661929245,7.24481201171875,-7.152923583984375,-12.04779052734375,0.00186128328585638,-0.03304610070235724,0.007187871782123864,seonkim
0,5,2017-03-09,15:27:58,0.000000,0.000000,-0.581711,0,0.000000,15:27:58,183.5156326293945,-6.702850341796875,-11.8963623046875,0.7698450088500977,34.05570330567105,-118.2841543202459,73.1738574842851,5,-0.4018018539895035,-0.006349421471049804,0.05079590982721933,-0.45728219091273686,0.0010306918661305013,0.019242595591409277,7.54638671875,-6.702850341796875,-11.8963623046875,0.02245311115045806,0.0202195179442086,0.005952963984654121,seonkim
0,6,2017-03-09,15:27:58,0.000000,0.000000,-1.647910,0,0.000000,15:27:58,183.519905090332,-7.1522216796875,-11.52130126953125,0.7698450088500977,34.05570330567105,-118.2841543202459,73.1738574842851,5,-0.5730951282844468,-0.04566033757058643,-0.04531806444996615,-0.4918921967022065,-0.01292264388196886,-5.0972713765272404e-05,7.39404296875,-7.1522216796875,-11.52130126953125,-0.006371879224123586,0.03094406765395769,-0.05325017231224338,seonkim
1,7,2017-03-09,15:27:59,0.000000,0.000000,0.851174,1,0.000000,15:27:59,183.5544281005859,-7.152099609375,-11.5235595703125,0.7698450088500977,34.05570330567105,-118.2841543202459,73.14658193099967,5,-0.3644664597393104,0.04363489219243404,0.08250683905965703,-0.4555600581350578,0.0032032682504448094,0.02348824258640567,7.169036865234375,-7.152099609375,-11.5235595703125,0.01173708355619722,0.01596964547666015,0.005715942647637069,seonkim
1,8,2017-03-09,15:27:59,0.000000,0.000000,-0.299938,1,0.000000,15:27:59,183.5271606445312,-6.777496337890625,-11.82635498046875,0.7698450088500977,34.05570330567105,-118.2841543202459,73.14658193099967,5,-0.5643996198283707,-0.08461747230912814,-0.05097887243884758,-0.48582213506682087,-0.02121467285177012,0.002783183426661548,7.020965576171875,-6.777496337890625,-11.82635498046875,-0.05136065951883215,0.002194977370443308,0.0001565938720966592,seonkim
1,9,2017-03-09,15:27:59,0.000000,0.000000,1.223596,1,0.000000,15:27:59,183.3861312866211,-7.8275146484375,-11.66748046875,0.7698450088500977,34.05570330567105,-118.2841543202459,73.14658193099967,5,-0.4162651956700913,0.03726412351571533,0.1273308753316816,-0.46674035501486505,-0.005171995591017373,0.03695075439114959,7.541534423828125,-7.8275146484375,-11.66748046875,0.05954828197417177,-0.03844858928969198,0.01138980735005089,seonkim
1,10,2017-03-09,15:27:59,0.000000,0.000000,0.933211,1,0.000000,15:27:59,183.3881149291992,-8.12646484375,-11.37841796875,0.7698450088500977,34.05570330567105,-118.2841543202459,73.14658193099967,5,-0.5311154132523865,-0.03502086546101879,0.006402883588205316,-0.48427447489862363,-0.013302064549778524,0.028630295450730363,6.339935302734375,-8.12646484375,-11.37841796875,-0.0239838961450356,0.01176984043760519,-0.03131531230991474,seonkim
1,11,2017-03-09,15:27:59,0.000000,0.000000,1.471360,1,0.000000,15:27:59,183.4302215576172,-7.151336669921875,-11.2303466796875,0.7698450088500977,34.05570330567105,-118.2841543202459,73.14658193099967,5,-0.4227239723111333,0.003215251082885659,0.06163852781749021,-0.46757361478423043,-0.008820324088694629,0.03758661340438234,6.49359130859375,-7.151336669921875,-11.2303466796875,0.01695847718940657,0.02768196163471963,0.01554646917944656,seonkim
