gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
0,2,2017-03-10,10:52:05,0.000000,0.000000,0.131327,0,0.000000,10:52:05,89.59457397460938,30.630126953125,-9.9901123046875,0.5829871296882629,34.0255610179473,-118.3080885932951,51.50347518920898,10,-0.4494505077558267,0.01538019928194814,0.007964132016403724,-0.4494055676484629,0.01537866143118353,0.0079633356907979,-48.0919189453125,30.630126953125,-9.9901123046875,-0.02900102532263588,0.09917079267237067,-0.02840208039347706,seonkim
0,3,2017-03-10,10:52:05,0.000000,0.000000,0.084085,0,0.000000,10:52:05,89.55825805664062,30.7803955078125,-9.91937255859375,0.5829871296882629,34.0255610179473,-118.3080885932951,51.50347518920898,10,-0.4733433589377246,0.04176237386890292,-0.003940484928044602,-0.46194386793154285,0.029198103046707762,0.0017282709919958983,-48.4664306640625,30.7803955078125,-9.91937255859375,0.06508978757040865,0.009565808319455615,-0.1034662051945595,seonkim
0,4,2017-03-10,10:52:05,0.000000,0.000000,-0.267166,0,0.000000,10:52:05,89.500732421875,30.92892456054688,-10.66229248046875,0.5829871296882629,34.0255610179473,-118.3080885932951,51.50347518920898,10,-0.4784129740263603,-0.1070197302320126,-0.02420777499054111,-0.46827056765078184,-0.023130743619173156,-0.008235206921812874,-47.7147216796875,30.92892456054688,-10.66229248046875,-0.01445670366138614,0.03303837753519601,0.03747360601461397,seonkim
0,5,2017-03-10,10:52:05,0.000000,0.000000,0.304689,0,0.000000,10:52:05,89.48468017578125,30.40277099609375,-11.64227294921875,0.5829871296882629,34.0255610179473,-118.3080885932951,51.50347518920898,10,-0.4449013458372133,0.1276837240056864,0.037332651788362,-0.4606471486658365,0.02606738051469223,0.006629767272268265,-48.39031982421875,30.40277099609375,-11.64227294921875,-0.01084439195880266,-0.02982953473775953,0.0005757754276751313,seonkim
0,6,2017-03-10,10:52:05,0.000000,0.000000,-0.360471,0,0.000000,10:52:05,89.51254272460938,30.47738647460938,-11.7122802734375,0.5829871296882629,34.0255610179473,-118.3080885932951,51.50347518920898,10,-0.542050946949633,-0.1577482983824615,-0.0451350311407758,-0.48497418840617584,-0.028864839107774824,-0.008839834081645953,-47.86492919921875,30.47738647460938,-11.7122802734375,-0.04119217784469161,0.0458902603237004,-0.01846396215362837,seonkim
1,7,2017-03-10,10:52:06,0.000000,0.000000,0.842014,1,0.000000,10:52:06,89.56405639648438,30.40283203125,-11.4112548828125,0.5829871296882629,34.0255610179473,-118.3080885932951,51.46026229858398,5,-0.3898519016515802,0.1728175847551529,0.05534320771419823,-0.45785253947117033,0.028639664652560144,0.009460292908137243,-47.79067993164062,30.40283203125,-11.4112548828125,-0.003759850826973869,0.03412095251831321,-0.02003762404175619,seonkim
1,8,2017-03-10,10:52:06,0.000000,0.000000,-0.123555,1,0.000000,10:52:06,89.53317260742188,30.5521240234375,-11.86102294921875,0.5829871296882629,34.0255610179473,-118.3080885932951,51.46026229858398,5,-0.5594329711307653,-0.1935073228616688,-0.0651622804974659,-0.4860962661990154,-0.03312674750240581,-0.01128799036416893,-47.71441650390625,30.5521240234375,-11.86102294921875,-0.01764104537679388,0.01708817313449343,-0.02580310148566873,seonkim
1,9,2017-03-10,10:52:06,0.000000,0.000000,0.743900,1,0.000000,10:52:06,89.55984497070312,30.40142822265625,-12.2332763671875,0.5829871296882629,34.0255610179473,-118.3080885932951,51.46026229858398,5,-0.3903167835018425,0.1821354113762832,0.05703930195943806,-0.45982077106986236,0.025926816453363116,0.007456456630950877,-47.48947143554688,30.40142822265625,-12.2332763671875,-0.02068184270944635,0.05543076861280025,0.0322383639437362,seonkim
1,10,2017-03-10,10:52:06,0.000000,0.000000,-0.065764,1,0.000000,10:52:06,89.52078247070312,30.32534790039062,-12.59747314453125,0.5829871296882629,34.0255610179473,-118.3080885932951,51.46026229858398,5,-0.5489071555905292,-0.1572339429925611,-0.05476859930255676,-0.48408562439912173,-0.023961491255432434,-0.009492057597744201,-46.43917846679688,30.32534790039062,-12.59747314453125,0.005539108751255808,-0.009562346210038512,-0.0705364846318387,seonkim
2,11,2017-03-10,10:52:07,0.000000,0.000000,0.450645,1,0.000000,10:52:07,89.55471801757812,30.5511474609375,-12.3050537109375,0.5829871296882629,34.0255610179473,-118.3080885932951,51.46026229858398,5,-0.4116415189528987,0.1140309954706488,0.03363622179417609,-0.464428938908212,0.013480822304456068,0.0022101922754407272,-47.11373901367188,30.5511474609375,-12.3050537109375,-0.03044792074287593,0.0554390244121795,0.03954261586549653,seonkim
