gpsidx,accidx,date,time,speed,kspeed,accSpeed,d_sec,accdist,sentime,azimuth,pitch,roll,light,gps_lat,gps_lon,alti,accuracy,acc_x,acc_y,acc_z,kacc_x,kacc_y,kacc_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,user_name
0,2,2017-03-07,09:04:32,0.000000,0.000000,-1.148830,0,0.000000,09:04:32,263.93798828125,-32.33955383300781,11.8460111618042,0.2719298303127289,33.92811360587366,-118.216688147374,26.26676368713379,5,-0.501376062336551,-0.003542795065382499,-0.1033183766031375,-0.5013259302448474,-0.00354244082484242,-0.10330804590185433,8.913360595703125,-32.33955383300781,11.8460111618042,-0.002323608051094135,-0.01713291424080676,-0.002358229145265165,wonhee
0,3,2017-03-07,09:04:32,0.000000,0.000000,-0.082097,0,0.000000,09:04:32,263.7523040771484,-33.73406982421875,14.58890056610107,0.2719298303127289,33.92811360587366,-118.216688147374,26.26676368713379,5,-0.4108999105963229,-0.0566732398122495,0.044385769899855,-0.45396197030149643,-0.031371654637183895,-0.025947967434362507,16.55539703369141,-33.73406982421875,14.58890056610107,-0.03762487356453047,-0.03078747378186103,-0.006876814566802609,wonhee
0,4,2017-03-07,09:04:32,0.000000,0.000000,-1.712221,0,0.000000,09:04:32,263.6775512695312,-33.95721435546875,14.35546588897705,0.2719298303127289,33.92811360587366,-118.216688147374,26.26676368713379,5,-0.5002660692328407,0.02150762481539956,-0.1354046514059632,-0.4717499502939708,-0.01105778207238823,-0.06799636810438295,22.80289840698242,-33.95721435546875,14.35546588897705,-0.009322928028040389,-0.03551937840671383,0.002336391224326516,wonhee
0,5,2017-03-07,09:04:32,0.000000,0.000000,0.346536,0,0.000000,09:04:32,263.592529296875,-35.57486724853516,14.53054523468018,0.2719298303127289,33.92811360587366,-118.216688147374,26.26676368713379,5,-0.5322403960888809,-0.0647853291307346,0.1105208024763044,-0.49148291429934376,-0.028584578879174892,-0.009761173188591085,29.66399002075195,-35.57486724853516,14.53054523468018,0.01172802880849095,0.009853163401075166,-0.004734035153724854,wonhee
1,6,2017-03-07,09:04:33,7.080955,3.708911,5.479006,1,3.165471,09:04:33,263.6851501464844,-37.19251251220703,13.07156085968018,0.2719298303127289,33.92812364101663,-118.2167147891732,25.59426498413086,5,-0.3761731576801635,0.04806204524109865,-0.133526339416174,-0.4570232810775114,-0.005679192272566212,-0.04674765515582659,35.855712890625,-37.19251251220703,13.07156085968018,0.009467005043013677,0.009828662319046437,0.01753798104260781,wonhee
1,7,2017-03-07,09:04:33,7.080955,3.708911,6.925943,1,3.165471,09:04:33,264.1446990966797,-37.86189270019531,10.3870267868042,0.2719298303127289,33.92812364101663,-118.2167147891732,25.59426498413086,5,-0.5306000418769155,-0.07077659267011378,0.06973272647065032,-0.4780017830065549,-0.0242400248639723,-0.013536300319089055,42.21477127075195,-37.86189270019531,10.3870267868042,0.00353774319206126,0.001241832016303949,0.002326004896075207,wonhee
1,8,2017-03-07,09:04:33,7.080955,3.708911,7.214827,1,3.165471,09:04:33,264.1554870605469,-36.74626159667969,3.734060287475586,0.2719298303127289,33.92812364101663,-118.2167147891732,25.59426498413086,5,-0.4518346571349948,0.01163747100075867,-0.007470757534522796,-0.47072619714523356,-0.01426453871641822,-0.01184981868020974,48.23914337158203,-36.74626159667969,3.734060287475586,0.004658401378766604,0.01470304606221847,-0.003516437903340626,wonhee
1,9,2017-03-07,09:04:33,7.080955,3.708911,7.556777,1,3.165471,09:04:33,264.1624755859375,-36.63471221923828,-7.120782852172852,0.2719298303127289,33.92812364101663,-118.2167147891732,25.59426498413086,5,-0.4960404589691296,-0.0180542903069328,-0.003933056500179484,-0.4776707404286305,-0.015304193521947933,-0.009677987717646105,49.57789611816406,-36.63471221923828,-7.120782852172852,0.005875465996932816,0.01837261572823865,0.008198275099699927,wonhee
1,10,2017-03-07,09:04:33,7.080955,3.708911,8.864869,1,3.165471,09:04:33,264.1630401611328,-32.33954620361328,-18.03397560119629,0.2719298303127289,33.92812364101663,-118.2167147891732,25.59426498413086,5,-0.4924002568496584,-0.01301597026672923,0.06047639635797403,-0.4816826840885985,-0.014680940013892484,0.009430272755137411,48.18336868286133,-32.33954620361328,-18.03397560119629,0.007033408438899268,0.01226944945810406,-1.837581152154674e-05,wonhee
2,11,2017-03-07,09:04:34,0.000000,2.284112,7.653424,1,3.165471,09:04:34,264.1600494384766,-27.31922912597656,-27.60491561889648,0.2719298303127289,33.92812364101663,-118.2167147891732,25.59426498413086,5,-0.4781944441282762,-0.005355634084162442,-0.1074927215659266,-0.48073619941059004,-0.012150649873126097,-0.02229513142879128,41.04336547851562,-27.31922912597656,-27.60491561889648,-0.006998787344728238,-0.02083177867881782,0.003518568432212689,wonhee
